date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:04	16570/16570	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-15.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-15.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:04	8769/8769	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-16.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-16.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:06	10862/10862	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-17.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-17.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:08	17065/17065	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-18.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-18.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:09	15110/15110	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-19.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-19.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:12	21529/21529	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/img-20.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/img-20.jpg	(from http://exprostudio.com/html/Finance/projects.html)
08:50:12	15428/15428	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/project-detail/img-01.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/project-detail/img-01.jpg	(from http://exprostudio.com/html/Finance/project-detail.html)
08:50:15	16665/16665	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/project-detail/img-03.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/project-detail/img-03.jpg	(from http://exprostudio.com/html/Finance/project-detail.html)
08:50:19	43959/43959	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/projects/project-detail/img-02.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/projects/project-detail/img-02.jpg	(from http://exprostudio.com/html/Finance/project-detail.html)
08:50:19	22915/22915	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Oct%202016%2012:43:51%20GMT	http://exprostudio.com/html/Finance/images/team/img-06.jpg	C:/My%20Web%20Sites/morgansng/exprostudio.com/html/Finance/images/team/img-06.jpg	(from http://exprostudio.com/html/Finance/team.html)
